Epoch	Accuracy	Error
1	0.4662	0.5338
2	0.6362	0.3638
3	0.6947	0.3053
4	0.7316	0.2684
5	0.7575	0.2425
6	0.7790	0.2210
7	0.7933	0.2067
8	0.8096	0.1904
9	0.8195	0.1805
10	0.8333	0.1667
11	0.8406	0.1594
12	0.8505	0.1495
13	0.8564	0.1436
14	0.8619	0.1381
15	0.8703	0.1297
16	0.8761	0.1239
17	0.8811	0.1189
18	0.8846	0.1154
19	0.8872	0.1128
20	0.8912	0.1088
21	0.8973	0.1027
22	0.9030	0.0970
23	0.9048	0.0952
24	0.9055	0.0945
25	0.9095	0.0905
26	0.9129	0.0871
27	0.9139	0.0861
28	0.9166	0.0834
29	0.9199	0.0801
30	0.9204	0.0796
31	0.9228	0.0772
32	0.9245	0.0755
33	0.9272	0.0728
34	0.9291	0.0709
35	0.9310	0.0690
36	0.9308	0.0692
37	0.9336	0.0664
38	0.9334	0.0666
39	0.9349	0.0651
40	0.9374	0.0626
41	0.9361	0.0639
42	0.9391	0.0609
43	0.9405	0.0595
44	0.9408	0.0592
45	0.9425	0.0575
46	0.9429	0.0571
47	0.9423	0.0577
48	0.9428	0.0572
49	0.9452	0.0548
50	0.9469	0.0531
51	0.9452	0.0548
52	0.9474	0.0526
53	0.9486	0.0514
54	0.9486	0.0514
55	0.9486	0.0514
56	0.9498	0.0502
57	0.9497	0.0503
58	0.9526	0.0474
